34017,40.8233,-73.9532
34016,40.7297,-73.9999
39299,40.7539,-73.9677
39290,40.6627,-73.9484
39293,40.7868,-73.9504
39294,40.7421,-73.9788
24308,40.6701,-73.9806
43040,40.7081,-74.0065
112996,40.7084,-74.0057
63229,40.7708,-73.9817
68506,40.7829,-73.977
68507,40.7191,-73.9857
68504,40.7976,-73.968
112997,40.7862,-73.9508
68502,40.7654,-73.9899
68500,40.8572,-73.9326
68501,40.7675,-73.9607
47260,40.7242,-73.9947
47261,40.7603,-73.9597
47262,40.7514,-73.9862
47263,40.6867,-73.9414
68509,40.77,-73.9517
84995,40.7787,-73.9826
84994,40.7678,-73.9915
84993,40.778,-73.9512
31193,40.7592,-73.9948
31192,40.7681,-73.9539
31195,40.7418,-73.9814
31194,40.728,-73.9898
4227,40.7228,-73.9945
4222,40.7795,-73.9762
108348,40.7473,-73.9738
108349,40.7397,-74.0025
108343,40.7833,-73.9834
108345,40.7294,-73.9986
79236,40.8261,-73.9387
72221,40.7557,-73.9682
109695,40.7483,-73.9747
79235,40.7779,-73.9515
72224,40.7556,-73.9922
24306,40.7165,-73.9404
72226,40.7298,-73.9871
79231,40.6461,-73.9625
98228,40.7939,-73.9684
58708,40.7545,-73.9984
109699,40.7436,-73.9727
79239,40.7673,-73.9922
77052,40.7516,-73.969
77053,40.7067,-74.0101
77054,40.7504,-73.8803
73576,40.7999,-73.956
77058,40.7761,-73.9491
73578,40.761,-73.999
76660,40.7384,-73.9975
76663,40.7775,-73.9536
94015,40.7698,-73.9839
87878,40.9019,-73.857
87875,40.7679,-73.9598
56914,40.7073,-74.0046
87870,40.75,-73.9706
95864,40.6899,-73.9941
116203,40.7901,-73.9772
49727,40.7658,-73.9781
76905,40.7366,-73.9933
76907,40.7109,-74.0165
76906,40.7097,-74.0097
76901,40.7645,-73.984
76903,40.6965,-73.9492
95862,40.7332,-74.0047
70990,40.7084,-74.0066
94018,40.7269,-73.9786
607,40.7252,-73.9947
86838,40.7542,-73.9955
86839,40.7443,-73.9805
86833,40.7878,-73.9678
70012,40.8467,-73.9349
74507,40.6936,-73.9986
74506,40.7444,-73.9754
70015,40.8679,-73.9229
42342,40.7079,-74.006
42345,40.777,-73.946
42346,40.7751,-73.9886
80433,40.7635,-73.9848
110712,40.8609,-73.8995
10308,40.7541,-73.9663
10306,40.8113,-73.9462
70081,40.6795,-73.9949
10302,40.7216,-73.857
10301,40.7645,-73.984
70085,40.7943,-73.9339
77072,40.778,-73.9512
121259,40.7626,-73.9267
77073,40.754,-73.9678
121255,40.7328,-73.9889
121257,40.8113,-73.9578
119668,40.7646,-73.9751
77070,40.7645,-73.9877
6289,40.7088,-74.0059
11622,40.7412,-73.9772
6285,40.7067,-74.0101
6286,40.7553,-73.9953
6283,40.8291,-73.9482
81824,40.7488,-73.9734
81827,40.7114,-74.0078
81822,40.8012,-73.966
81828,40.7797,-73.9446
81829,40.7792,-73.9763
121787,40.7325,-73.9977
121786,40.732,-73.8634
85567,40.7845,-73.976
85566,40.7488,-73.9956
85560,40.8618,-73.9268
85563,40.7288,-73.9857
113167,40.8233,-73.9405
57065,40.7842,-73.948
38454,40.7754,-73.9466
38457,40.7575,-73.9626
863,40.7318,-74.0044
862,40.7984,-73.9683
38459,40.6983,-73.9929
38458,40.8215,-73.9568
866,40.7074,-74.0122
89658,40.7234,-73.9945
45376,40.796,-73.9742
45377,40.7721,-73.9861
44028,40.7832,-73.9519
80885,40.7462,-73.9757
44022,40.7104,-73.9484
80881,40.7287,-73.9838
6853,40.7394,-73.9813
80882,40.7953,-73.9629
5216,40.752,-73.9402
89653,40.7166,-74.0049
122774,40.7712,-73.9813
18070,40.7805,-73.9487
33816,40.7572,-73.9648
5219,40.7823,-73.951
89650,40.8032,-73.9507
95125,40.7783,-73.9804
61006,40.756,-73.9696
122785,40.6063,-74.0604
70330,40.7481,-73.9749
70331,40.7561,-73.9965
14590,40.7093,-73.9556
70337,40.7647,-73.9668
103927,40.7928,-73.9758
103926,40.7696,-73.9567
62049,40.749,-73.8901
18657,40.7699,-73.9484
18656,40.7252,-73.9942
18651,40.6589,-74.0018
18650,40.761,-73.963
18653,40.7111,-74.0055
